,warehouses,price,leaseSpace,buildingSize,yearBuilt,yearRenovated,lat,lon,datapoints,distance,time,speed,hubDensity,connectivity,mean_dist,num_nearest,connect+
TX,-0.04,1.0,-0.36,-0.08,0.17,0.19,-0.01,0.08,-0.03,-0.13,-0.12,-0.15,-0.01,-0.01,-0.21,0.05,0.01
CA,0.06,1.0,-0.33,-0.27,-0.31,-0.32,-0.1,-0.1,0.08,-0.38,-0.37,-0.08,0.2,0.25,-0.31,0.22,0.25
OH,-0.09,1.0,-0.27,-0.28,-0.03,-0.06,0.12,0.18,-0.07,-0.13,-0.13,0.14,0.12,0.07,-0.02,-0.01,0.01
NY,0.21,1.0,-0.27,-0.15,-0.08,-0.1,-0.47,0.17,0.23,-0.44,-0.42,-0.41,0.13,0.5,-0.47,0.59,0.6
FL,0.1,1.0,-0.3,-0.04,0.09,0.1,-0.45,0.43,0.15,-0.29,-0.31,-0.2,0.51,0.43,-0.35,0.46,0.45
IL,0.08,1.0,-0.38,-0.32,0.06,0.05,0.11,0.27,0.09,-0.23,-0.23,-0.15,0.15,-0.1,-0.3,0.27,0.13
MI,0.11,1.0,-0.22,-0.25,0.12,0.05,-0.19,0.28,0.09,-0.26,-0.26,-0.08,-0.01,0.08,-0.29,0.29,0.27
NJ,0.13,1.0,-0.1,-0.03,0.01,0.0,0.36,0.46,0.14,-0.09,-0.1,-0.19,0.09,0.16,-0.19,0.27,0.25
PA,0.06,1.0,-0.23,-0.18,-0.02,0.09,-0.32,0.12,0.03,-0.23,-0.24,-0.26,0.01,0.24,-0.31,0.36,0.35
AZ,-0.13,1.0,-0.3,-0.29,-0.56,-0.52,0.15,0.18,-0.11,0.15,0.15,0.18,0.24,0.1,0.28,-0.13,-0.1
NC,0.11,1.0,-0.54,-0.54,0.15,0.06,-0.28,-0.15,0.12,-0.14,-0.19,-0.2,0.13,0.31,-0.12,0.31,0.44
MO,-0.03,1.0,-0.36,-0.22,-0.04,-0.04,0.7,-0.25,-0.04,0.3,0.34,0.07,0.03,-0.1,-0.55,0.34,0.31
GA,0.26,1.0,0.15,0.1,0.42,0.45,0.23,-0.07,0.23,-0.01,-0.01,-0.29,0.02,0.07,-0.5,0.53,0.52
MD,0.05,1.0,-0.5,-0.57,0.24,0.27,-0.17,-0.18,0.15,0.02,0.07,0.2,0.42,0.14,-0.36,0.3,0.2
MA,0.1,1.0,-0.32,-0.16,0.09,0.12,0.11,0.33,0.08,-0.39,-0.24,-0.37,0.03,0.3,-0.15,0.32,0.33
IN,0.08,1.0,-0.3,-0.41,0.17,-0.05,-0.22,-0.31,0.07,0.28,0.28,0.05,-0.38,-0.38,-0.08,0.12,0.08
SC,0.23,1.0,-0.4,-0.26,0.45,0.44,-0.36,0.3,0.25,-0.48,-0.5,-0.3,0.28,0.44,0.33,0.03,0.42
OR,0.35,1.0,0.12,-0.04,0.39,0.39,0.35,-0.14,0.37,-0.18,-0.16,0.06,0.4,0.43,-0.26,0.34,0.42
WA,0.14,1.0,-0.22,-0.05,-0.18,-0.21,0.25,-0.15,0.23,-0.52,-0.52,-0.15,0.51,0.42,-0.42,0.62,0.48
KS,0.4,1.0,-0.47,-0.52,0.2,0.21,-0.03,0.09,0.35,-0.16,-0.16,0.28,-0.22,-0.14,-0.13,0.47,0.44
WI,0.08,1.0,-0.31,-0.18,0.49,0.49,-0.17,0.12,0.07,0.02,0.01,-0.1,0.05,0.06,-0.16,0.16,0.19
UT,-0.07,1.0,-0.43,-0.03,0.65,0.65,0.28,0.44,-0.1,0.18,0.16,0.17,-0.18,-0.16,-0.25,0.21,0.1
TN,0.21,1.0,-0.46,-0.25,0.36,0.3,0.12,-0.03,0.29,-0.22,-0.27,-0.11,0.28,0.36,-0.54,0.45,0.45
OK,0.1,1.0,-0.86,-0.57,0.49,0.49,-0.19,-0.73,0.09,-0.53,-0.57,-0.58,-0.28,-0.12,0.41,0.34,0.23
CO,-0.19,1.0,-0.25,-0.18,0.31,0.39,0.48,-0.11,-0.24,-0.38,-0.37,-0.21,-0.43,-0.38,-0.32,0.24,-0.13
MN,0.19,1.0,-0.46,-0.41,0.21,0.12,0.06,0.05,0.34,-0.36,-0.37,-0.02,0.63,0.55,-0.22,0.34,0.51
NV,0.62,1.0,0.17,0.56,0.42,0.42,-0.46,0.19,0.6,-0.44,-0.47,-0.02,0.3,0.44,-0.49,0.53,0.49
LA,0.05,1.0,-0.22,-0.19,-0.24,-0.04,-0.44,0.49,0.16,-0.26,-0.25,-0.18,0.5,0.4,-0.55,0.45,0.45
IA,-0.0,1.0,-0.14,0.1,0.04,0.02,-0.15,0.1,0.02,0.54,0.54,0.39,0.21,-0.18,-0.41,0.1,-0.17
CT,0.06,1.0,-0.31,-0.09,-0.39,-0.33,-0.31,-0.73,0.06,0.01,0.0,0.16,0.44,0.01,-0.37,0.65,0.3
KY,0.24,1.0,-0.2,-0.1,0.5,0.42,-0.05,-0.32,0.18,-0.22,-0.27,-0.18,-0.22,-0.18,-0.15,-0.06,-0.1
HI,0.11,1.0,0.21,0.46,-0.21,-0.17,-0.09,0.04,0.11,-0.3,-0.33,-0.38,-0.12,0.36,0.14,-0.28,0.3
AL,-0.3,1.0,-0.58,-0.44,0.25,0.25,0.37,0.16,-0.27,0.24,0.27,0.12,0.33,-0.15,0.19,0.12,-0.12
AR,-0.01,1.0,-0.55,-0.36,0.26,0.26,0.46,0.32,0.03,0.53,0.4,0.51,0.09,-0.01,-0.26,0.25,0.12
VA,-0.94,1.0,-0.61,0.25,0.58,0.47,-1.0,0.94,-0.73,0.93,0.76,,0.39,-0.22,-0.79,0.79,0.08
ID,0.08,1.0,-0.66,-0.3,-0.37,-0.37,-0.06,-0.48,0.05,-0.2,-0.13,-0.08,-0.49,0.14,0.59,0.27,0.27
DE,0.05,1.0,-0.84,-0.86,0.58,0.58,0.74,-0.38,0.13,-0.93,-0.92,-0.72,0.72,0.82,-0.73,0.52,0.75
NH,0.09,1.0,0.16,0.03,-0.08,-0.08,-0.31,0.61,-0.23,-0.18,-0.3,0.5,-0.38,-0.17,-0.37,0.15,0.04
MS,0.31,1.0,-0.51,-0.35,-0.15,-0.15,0.06,0.34,0.37,0.25,0.35,-0.38,0.05,0.14,0.28,-0.23,0.02
RI,-0.39,1.0,-0.4,0.75,-0.73,-0.73,0.74,-0.67,-0.57,0.76,0.74,0.59,-0.53,-0.65,0.07,0.68,-0.36
ND,0.41,1.0,-0.75,-0.5,0.44,0.15,0.92,-0.56,0.17,-0.37,-0.31,-0.91,-0.45,-0.29,0.67,-0.18,-0.32
NE,0.12,1.0,-0.36,-0.37,0.65,0.67,-0.23,0.28,0.19,0.14,0.14,0.0,0.33,0.25,-0.25,0.52,0.55
NM,0.57,1.0,-0.86,-0.84,0.28,0.28,0.33,-0.1,0.39,-0.29,-0.3,-0.19,0.19,0.29,0.23,0.09,0.29
SD,0.03,1.0,-0.18,-0.09,0.87,0.87,-0.62,0.99,0.15,-0.61,-0.67,0.12,0.96,0.54,-0.87,0.44,0.56
ME,-0.94,1.0,-0.95,-0.95,0.71,0.71,0.05,-0.45,-0.41,0.51,0.59,0.36,0.96,0.53,0.05,-0.03,0.83
MT,0.22,1.0,-0.37,0.17,-0.32,-0.32,-0.15,-0.48,0.45,-0.25,-0.27,0.11,0.2,0.09,-0.67,0.08,0.11
WY,-0.37,1.0,0.06,-0.15,0.32,0.32,-0.12,-0.23,0.28,0.64,0.59,0.93,0.4,-0.53,-0.01,-0.84,-0.67
VT,,1.0,0.5,0.19,0.01,0.01,0.62,-0.27,-0.71,-0.76,-0.76,-0.71,-0.71,0.71,0.61,0.45,0.68
AK,0.83,1.0,-0.42,0.47,0.03,-0.69,-0.73,-0.52,0.88,-0.49,-0.29,-0.6,-0.58,0.71,-0.82,0.81,0.73
